net name,experiment name,weighted error
splinedist_unet_400epochs_Yang-Lab-Dell2_2021-04-25 04-07-56.285364,saved_models/unet_deform_sigma=6\complete_nets\task1_uli_task8_robert_combined_errors,3.9779364945698674
splinedist_unet_400epochs_NZXT-U_2021-04-25 12-52-48.660668,saved_models/unet_deform_sigma=6\complete_nets\task1_uli_task8_robert_combined_errors,3.7512357558680764
splinedist_unet_400epochs_Yang-Lab-Dell4_2021-04-24 01-20-46.359695,saved_models/unet_deform_sigma=6\complete_nets\task1_uli_task8_robert_combined_errors,3.1425806067154634
splinedist_unet_400epochs_Yang-Lab-Dell4_2021-04-23 17-44-57.538171,saved_models/unet_deform_sigma=6\complete_nets\task1_uli_task8_robert_combined_errors,3.9576991353508113
splinedist_unet_400epochs_Yang-Lab-Dell2_2021-04-23 17-42-13.498025,saved_models/unet_deform_sigma=6\complete_nets\task1_uli_task8_robert_combined_errors,3.6844293088713975
splinedist_unet_400epochs_Yang-Lab-Dell2_2021-04-24 16-39-28.753895,saved_models/unet_deform_sigma=6\complete_nets\task1_uli_task8_robert_combined_errors,3.4227052124629345
splinedist_unet_400epochs_Yang-Lab-Dell4_2021-04-24 23-58-15.082124,saved_models/unet_deform_sigma=6\complete_nets\task1_uli_task8_robert_combined_errors,3.9594447808444
splinedist_unet_400epochs_Yang-Lab-Dell4_2021-04-25 22-34-59.212929,saved_models/unet_deform_sigma=6\complete_nets\task1_uli_task8_robert_combined_errors,4.501800954751969
splinedist_unet_400epochs_NZXT-U_2021-04-24 18-25-07.151815,saved_models/unet_deform_sigma=6\complete_nets\task1_uli_task8_robert_combined_errors,3.426452009829386
splinedist_unet_400epochs_NZXT-U_2021-04-25 06-43-42.645036,saved_models/unet_deform_sigma=6\complete_nets\task1_uli_task8_robert_combined_errors,3.4489936723289247
splinedist_unet_400epochs_Yang-Lab-Dell4_2021-04-24 16-25-35.033527,saved_models/unet_deform_sigma=6\complete_nets\task1_uli_task8_robert_combined_errors,3.6962950829799417
splinedist_unet_400epochs_Yang-Lab-Dell8_2021-04-23 17-37-00.776465,saved_models/unet_deform_sigma=6\complete_nets\task1_uli_task8_robert_combined_errors,3.1646465577445273
splinedist_unet_400epochs_NZXT-U_2021-04-25 00-34-15.146434,saved_models/unet_deform_sigma=6\complete_nets\task1_uli_task8_robert_combined_errors,3.9764867924786063
splinedist_unet_400epochs_Yang-Lab-Dell8_2021-04-23 21-19-45.661179,saved_models/unet_deform_sigma=6\complete_nets\task1_uli_task8_robert_combined_errors,8.63086672506671
splinedist_unet_400epochs_Yang-Lab-Dell8_2021-04-24 01-03-48.388825,saved_models/unet_deform_sigma=6\complete_nets\task1_uli_task8_robert_combined_errors,4.502312724820095
splinedist_unet_400epochs_Yang-Lab-Dell2_2021-04-24 05-09-58.068122,saved_models/unet_deform_sigma=6\complete_nets\task1_uli_task8_robert_combined_errors,3.4291641572588976
splinedist_unet_400epochs_NZXT-U_2021-04-24 06-08-59.494387,saved_models/unet_deform_sigma=6\complete_nets\task1_uli_task8_robert_combined_errors,3.4176458980835895
splinedist_unet_400epochs_Yang-Lab-Dell8_2021-04-24 04-48-01.261611,saved_models/unet_deform_sigma=6\complete_nets\task1_uli_task8_robert_combined_errors,3.973208959123093
splinedist_unet_400epochs_Yang-Lab-Dell4_2021-04-24 08-54-46.151040,saved_models/unet_deform_sigma=6\complete_nets\task1_uli_task8_robert_combined_errors,2.9003537959488703
splinedist_unet_400epochs_Yang-Lab-Dell3_2021-04-24 00-40-04.441700,saved_models/unet_deform_sigma=6\complete_nets\task1_uli_task8_robert_combined_errors,3.702541330681767
splinedist_unet_400epochs_Yang-Lab-Dell2_2021-04-25 15-35-13.033974,saved_models/unet_deform_sigma=6\complete_nets\task1_uli_task8_robert_combined_errors,3.4134044780642547
splinedist_unet_400epochs_NZXT-U_2021-04-23 23-59-47.924875,saved_models/unet_deform_sigma=6\complete_nets\task1_uli_task8_robert_combined_errors,4.250568966393494
splinedist_unet_400epochs_Yang-Lab-Dell3_2021-04-23 17-48-27.636637,saved_models/unet_deform_sigma=6\complete_nets\task1_uli_task8_robert_combined_errors,3.4615771416498675
splinedist_unet_400epochs_NZXT-U_2021-04-23 17-48-37.497131,saved_models/unet_deform_sigma=6\complete_nets\task1_uli_task8_robert_combined_errors,3.960467161735854
splinedist_unet_400epochs_Yang-Lab-Dell4_2021-04-25 15-03-30.681699,saved_models/unet_deform_sigma=6\complete_nets\task1_uli_task8_robert_combined_errors,3.7131394911379694
splinedist_unet_400epochs_NZXT-U_2021-04-24 12-17-20.200175,saved_models/unet_deform_sigma=6\complete_nets\task1_uli_task8_robert_combined_errors,3.7001156108791498
splinedist_unet_400epochs_Yang-Lab-Dell4_2021-04-25 07-31-16.240600,saved_models/unet_deform_sigma=6\complete_nets\task1_uli_task8_robert_combined_errors,3.6937493447594085
